file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,53,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,0
style.css,54,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,32
style.css,55,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,10
style.css,56,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,14
style.css,57,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,14
style.css,58,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,22
style.css,59,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,21
style.css,60,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,0
style.css,61,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,12
style.css,62,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,15
style.css,63,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,12
style.css,64,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,31
style.css,65,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,12
style.css,66,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,21
style.css,67,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,15
style.css,68,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,17
style.css,69,css,d643240e,na-raghavan,2025-04-19,18:11:24,-07:00,2025-04-19T18:11:24-07:00,0,19
style.css,70,css,856b20f4,na-raghavan,2025-04-11,20:31:08,-07:00,2025-04-11T20:31:08-07:00,0,0
